soil_type,district,season,crop_type,ph,nitrogen,phosphorus,potassium,moisture,organicMatter
Alluvial,Ampara,Maha,chili,6.26,72.75,23.32,53.4,39.28,3.75
Regosol,Jaffna,Yala,tomato,6.46,29.81,11.44,29.9,8.0,2.06
Alluvial,Colombo,Yala,chili,7.4,73.7,30.0,52.72,35.75,3.95
Alluvial,Ampara,Yala,chili,6.72,68.08,25.67,60.58,38.27,5.25
Alluvial,Kalutara,Maha,banana,6.87,64.95,40.16,63.87,26.24,3.37
Regosol,Mannar,Maha,chili,7.62,28.93,14.09,26.83,15.49,2.2
Reddish Brown Earth,Kurunegala,Yala,groundnut,5.99,68.85,32.89,41.58,16.16,2.1
Red Yellow Podzolic,Matara,Maha,pepper,5.44,53.25,25.54,23.38,27.41,4.01
Regosol,Mullaitivu,Maha,groundnut,6.37,36.21,18.9,23.44,20.17,0.98
Reddish Brown Earth,Monaragala,Maha,chili,5.69,55.9,18.49,43.4,23.71,2.77
Red Yellow Podzolic,Ratnapura,Yala,rubber,5.51,59.03,19.34,32.72,31.41,2.58
Alluvial,Ampara,Yala,big onion,6.5,56.8,41.02,47.94,27.66,4.28
Alluvial,Colombo,Maha,vegetables,7.25,64.12,32.3,53.9,24.26,3.14
Reddish Brown Earth,Polonnaruwa,Yala,onion,6.04,67.63,32.38,37.31,17.01,2.22
Red Yellow Podzolic,Kandy,Maha,tea,4.63,36.0,12.97,39.73,33.39,4.76
Red Yellow Podzolic,Galle,Yala,cocoa,5.08,59.13,18.13,22.91,26.16,3.62
Regosol,Jaffna,Yala,chili,7.64,40.97,19.71,27.33,8.58,1.57
Alluvial,Ampara,Yala,big onion,6.12,70.17,38.73,48.34,22.25,3.64
Alluvial,Trincomalee,Yala,big onion,6.53,74.84,25.45,59.44,31.95,5.53
Regosol,Kilinochchi,Yala,groundnut,6.97,38.53,12.04,27.39,11.81,1.14
Reddish Brown Earth,Hambantota,Yala,onion,6.08,48.97,24.34,42.07,15.75,2.35
Red Yellow Podzolic,Ratnapura,Maha,vegetables,5.31,54.54,13.8,23.74,35.25,4.29
Alluvial,Kalutara,Maha,banana,6.15,80.42,33.47,63.33,23.49,4.32
Red Yellow Podzolic,Galle,Maha,pepper,5.2,57.07,19.66,23.94,31.97,4.04
Red Yellow Podzolic,Galle,Maha,vegetables,5.02,56.51,24.41,31.43,27.58,4.05
Reddish Brown Earth,Kurunegala,Maha,cowpea,6.59,68.6,34.45,42.38,26.67,3.44
Reddish Brown Earth,Monaragala,Maha,cowpea,5.46,55.9,26.84,55.16,25.06,3.75
Reddish Brown Earth,Polonnaruwa,Maha,onion,5.82,61.56,26.93,42.84,16.57,3.6
Regosol,Kilinochchi,Maha,groundnut,5.81,36.51,14.18,20.14,13.33,1.92
Reddish Brown Earth,Anuradhapura,Yala,onion,6.17,60.46,31.19,44.51,22.3,2.28
Reddish Brown Earth,Hambantota,Maha,chili,6.12,54.59,33.67,47.71,26.36,3.81
Red Yellow Podzolic,Kandy,Maha,rubber,5.32,35.5,19.65,31.7,34.55,4.98
Red Yellow Podzolic,Ratnapura,Yala,rubber,4.96,35.0,25.05,44.97,28.2,3.91
Alluvial,Kalutara,Maha,paddy,7.06,83.34,27.9,65.84,40.0,3.65
Regosol,Mullaitivu,Maha,groundnut,6.94,36.15,21.85,28.01,19.11,0.9
Regosol,Puttalam,Yala,onion,6.86,42.51,22.12,29.03,12.66,2.15
Red Yellow Podzolic,Galle,Maha,cocoa,5.6,37.62,23.5,24.73,27.24,2.89
Regosol,Jaffna,Yala,watermelon,6.12,33.84,16.08,25.18,17.15,1.04
Red Yellow Podzolic,Matara,Maha,rubber,5.72,53.51,20.26,36.69,30.85,4.06
Reddish Brown Earth,Monaragala,Maha,onion,5.79,61.58,33.96,38.36,16.6,1.97
Reddish Brown Earth,Monaragala,Maha,groundnut,5.96,67.77,18.94,38.1,16.93,2.19
Reddish Brown Earth,Hambantota,Maha,onion,5.94,55.41,27.01,44.71,17.57,2.51
Alluvial,Colombo,Yala,big onion,6.43,79.17,41.35,52.71,36.48,3.22
Alluvial,Trincomalee,Maha,banana,6.24,57.74,33.61,67.93,40.0,4.91
Alluvial,Gampaha,Yala,big onion,6.26,68.86,32.49,67.45,24.47,5.3
Regosol,Mannar,Yala,onion,7.69,35.16,14.38,19.8,8.0,1.96
Alluvial,Batticaloa,Yala,big onion,7.02,64.36,27.11,58.87,21.22,5.61
Reddish Brown Earth,Kurunegala,Maha,onion,6.1,67.28,32.47,52.8,27.6,3.22
Reddish Brown Earth,Hambantota,Maha,groundnut,6.23,59.93,18.36,54.67,17.91,2.03
Regosol,Jaffna,Maha,watermelon,7.79,25.73,23.01,24.53,13.65,1.35
Reddish Brown Earth,Kurunegala,Yala,onion,5.45,46.71,28.73,58.02,24.14,3.16
Regosol,Mannar,Maha,groundnut,7.79,42.42,12.7,25.44,17.89,2.06
Regosol,Mullaitivu,Maha,chili,6.39,45.74,15.48,24.68,11.38,2.31
Regosol,Mullaitivu,Maha,chili,7.76,35.6,11.04,23.0,12.55,1.33
Regosol,Kilinochchi,Yala,chili,7.12,33.04,12.95,37.18,11.1,2.26
Alluvial,Kalutara,Maha,banana,6.46,76.15,31.52,44.06,40.0,6.06
Reddish Brown Earth,Hambantota,Yala,onion,6.61,64.89,22.65,38.05,18.23,2.37
Red Yellow Podzolic,Kegalle,Maha,tea,4.51,52.62,14.27,22.77,32.73,4.22
Alluvial,Ampara,Yala,paddy,6.58,69.62,28.28,53.79,23.2,4.47
Red Yellow Podzolic,Kegalle,Maha,rubber,5.3,53.81,23.4,32.13,26.81,3.28
Alluvial,Colombo,Yala,big onion,6.97,56.84,24.79,44.17,30.39,5.06
Reddish Brown Earth,Hambantota,Yala,onion,5.75,45.06,30.34,55.94,17.83,3.02
Red Yellow Podzolic,Kegalle,Yala,pepper,4.76,38.94,27.18,43.71,36.54,4.45
Reddish Brown Earth,Polonnaruwa,Yala,onion,5.88,64.77,18.24,48.41,16.47,2.99
Reddish Brown Earth,Hambantota,Yala,cowpea,6.39,57.22,30.3,53.49,18.3,3.27
Red Yellow Podzolic,Matale,Yala,tea,4.57,59.56,14.69,42.13,23.49,4.96
Alluvial,Trincomalee,Yala,big onion,7.11,55.64,24.16,40.66,34.9,5.3
Regosol,Mullaitivu,Maha,chili,6.04,35.03,13.83,21.84,11.39,1.13
Alluvial,Ampara,Maha,vegetables,6.08,78.63,20.94,43.55,38.74,5.04
Reddish Brown Earth,Monaragala,Yala,onion,6.24,69.66,23.49,59.27,15.1,2.52
Regosol,Puttalam,Yala,onion,5.82,28.33,14.53,31.86,12.96,1.89
Alluvial,Colombo,Maha,paddy,7.47,78.57,31.39,69.8,31.17,4.0
Regosol,Kilinochchi,Maha,watermelon,5.94,35.48,23.04,28.08,10.62,1.7
Reddish Brown Earth,Polonnaruwa,Maha,chili,5.43,58.85,24.27,55.09,22.01,3.13
Alluvial,Ampara,Maha,big onion,6.6,72.72,22.24,67.76,40.0,3.11
Alluvial,Trincomalee,Yala,paddy,6.04,58.79,38.41,50.47,36.01,2.88
Red Yellow Podzolic,Galle,Yala,cocoa,4.8,55.76,21.61,41.66,33.7,3.05
Alluvial,Gampaha,Maha,big onion,6.36,59.58,41.35,67.29,29.58,4.48
Alluvial,Kalutara,Maha,banana,6.3,84.0,32.34,61.37,24.59,5.74
Red Yellow Podzolic,Matale,Yala,cocoa,5.58,36.97,19.11,38.27,24.06,4.0
Reddish Brown Earth,Polonnaruwa,Maha,groundnut,5.5,66.77,28.54,41.02,26.48,2.18
Alluvial,Trincomalee,Maha,vegetables,6.25,71.15,20.82,59.73,31.73,4.35
Regosol,Puttalam,Yala,watermelon,6.42,49.69,11.0,35.7,17.09,0.85
Alluvial,Gampaha,Yala,paddy,6.98,88.25,29.18,54.76,36.26,3.53
Red Yellow Podzolic,Matale,Yala,rubber,5.65,56.91,13.49,30.17,23.38,4.49
Regosol,Mannar,Yala,watermelon,6.77,26.71,17.68,22.85,15.76,0.99
Red Yellow Podzolic,Matara,Maha,tea,4.84,35.9,20.79,40.65,37.68,6.1
Reddish Brown Earth,Hambantota,Yala,maize,5.71,59.3,27.77,59.82,15.76,3.76
Regosol,Kilinochchi,Yala,tomato,6.77,37.32,21.84,35.34,8.0,0.95
Red Yellow Podzolic,Matale,Yala,tea,4.99,42.39,26.73,22.15,34.41,5.13
Regosol,Mannar,Maha,watermelon,5.85,40.97,19.46,27.24,13.07,1.31
Reddish Brown Earth,Polonnaruwa,Maha,chili,6.42,51.63,28.6,44.94,17.64,2.65
Alluvial,Colombo,Yala,vegetables,6.41,79.07,25.62,57.53,29.26,4.83
Regosol,Puttalam,Yala,onion,5.93,30.46,14.22,29.98,16.44,0.8
Alluvial,Trincomalee,Yala,vegetables,6.3,81.63,39.0,46.53,22.85,4.7
Alluvial,Gampaha,Yala,big onion,6.86,70.46,40.68,54.72,27.84,5.33
Regosol,Puttalam,Yala,watermelon,7.03,45.25,12.45,22.98,15.71,1.93
Reddish Brown Earth,Anuradhapura,Yala,chili,5.72,56.62,28.38,44.47,13.41,3.5
Regosol,Kilinochchi,Yala,watermelon,7.54,49.15,18.43,27.73,12.86,2.22
Regosol,Mannar,Maha,tomato,6.84,43.76,17.04,18.37,19.22,1.75
Regosol,Puttalam,Yala,onion,6.09,35.64,15.77,19.84,11.69,0.87
Red Yellow Podzolic,Matara,Yala,vegetables,5.37,39.7,15.38,40.6,32.21,4.78
Alluvial,Kalutara,Maha,banana,6.18,70.91,22.11,50.86,37.38,4.69
Reddish Brown Earth,Monaragala,Yala,chili,6.12,53.59,34.94,48.76,17.07,2.71
Red Yellow Podzolic,Ratnapura,Yala,vegetables,5.47,35.62,20.27,39.26,29.72,4.03
Red Yellow Podzolic,Matale,Yala,pepper,5.31,47.33,24.36,25.91,35.57,4.78
Alluvial,Colombo,Maha,vegetables,6.57,66.71,32.6,64.25,25.74,5.01
Red Yellow Podzolic,Matale,Maha,rubber,5.12,48.92,20.2,26.17,27.76,4.43
Regosol,Mannar,Yala,onion,7.39,33.32,13.13,29.52,16.2,0.8
Red Yellow Podzolic,Kandy,Maha,tea,4.66,47.67,14.17,41.28,37.93,3.15
Alluvial,Colombo,Yala,banana,6.18,58.95,24.46,58.68,24.42,4.18
Alluvial,Ampara,Yala,chili,6.85,61.93,25.11,60.62,27.01,4.86
Regosol,Kilinochchi,Yala,groundnut,7.32,34.78,17.39,23.66,13.33,1.08
Regosol,Puttalam,Maha,watermelon,6.79,29.26,23.58,24.76,18.48,2.33
Red Yellow Podzolic,Ratnapura,Maha,vegetables,4.8,42.22,14.99,41.05,35.96,5.27
Red Yellow Podzolic,Kegalle,Yala,rubber,5.69,50.34,21.94,47.8,31.31,3.46
Alluvial,Ampara,Maha,paddy,6.58,82.17,37.16,43.64,35.71,5.88
Alluvial,Colombo,Yala,big onion,7.18,67.42,36.34,65.05,26.22,4.97
Reddish Brown Earth,Hambantota,Maha,chili,5.85,53.33,29.39,56.44,19.79,3.52
Regosol,Puttalam,Yala,tomato,7.46,48.17,17.24,26.72,8.5,1.98
Regosol,Jaffna,Maha,chili,6.39,38.37,15.47,19.55,18.7,2.01
Regosol,Jaffna,Maha,tomato,7.35,33.61,12.0,32.97,21.04,1.79
Reddish Brown Earth,Anuradhapura,Yala,chili,5.71,63.84,34.22,42.55,20.89,1.82
Alluvial,Colombo,Yala,big onion,7.21,75.9,22.16,54.86,21.65,5.06
Alluvial,Trincomalee,Maha,big onion,6.68,82.18,32.63,49.95,30.2,5.79
Reddish Brown Earth,Polonnaruwa,Maha,groundnut,5.81,63.57,34.16,52.25,16.67,3.37
Regosol,Kilinochchi,Maha,tomato,7.37,40.6,16.35,27.28,14.56,2.02
Red Yellow Podzolic,Galle,Yala,vegetables,5.42,58.41,21.16,25.89,26.04,3.68
Regosol,Kilinochchi,Yala,onion,6.25,30.08,23.24,34.27,8.95,1.95
Red Yellow Podzolic,Galle,Maha,tea,5.27,50.67,15.98,37.34,30.86,3.55
Red Yellow Podzolic,Kandy,Yala,tea,4.66,58.79,13.19,24.25,27.68,4.93
Red Yellow Podzolic,Matale,Maha,cocoa,5.04,58.01,14.86,45.68,27.27,5.14
Regosol,Puttalam,Yala,chili,7.68,41.63,15.3,19.14,11.49,1.33
Regosol,Kilinochchi,Yala,chili,6.1,43.84,15.9,22.56,16.28,1.46
Alluvial,Gampaha,Yala,paddy,6.03,86.92,34.29,46.94,30.86,5.73
Alluvial,Gampaha,Maha,big onion,7.41,76.73,23.09,43.36,37.57,5.89
Reddish Brown Earth,Kurunegala,Maha,groundnut,6.19,60.97,24.89,45.69,18.33,2.75
Red Yellow Podzolic,Ratnapura,Maha,pepper,5.45,41.85,25.18,35.41,34.17,3.0
Alluvial,Ampara,Maha,big onion,6.18,62.59,21.46,60.03,38.8,5.22
Red Yellow Podzolic,Kegalle,Yala,cocoa,5.77,48.51,16.36,33.91,36.65,4.59
Alluvial,Batticaloa,Yala,chili,6.18,78.67,20.2,41.26,34.43,4.23
Alluvial,Batticaloa,Yala,paddy,6.7,78.95,27.94,62.3,38.15,5.27
Reddish Brown Earth,Monaragala,Yala,chili,6.4,64.45,26.55,45.47,14.25,2.2
Alluvial,Colombo,Maha,chili,6.3,68.87,25.29,62.39,37.88,5.63
Reddish Brown Earth,Anuradhapura,Maha,groundnut,6.21,51.62,19.38,41.0,21.72,2.34
Alluvial,Colombo,Yala,banana,6.38,56.18,35.55,56.77,30.15,4.27
Reddish Brown Earth,Kurunegala,Maha,chili,6.5,69.36,31.91,50.34,24.95,2.14
Red Yellow Podzolic,Matale,Yala,pepper,4.65,54.04,15.71,29.98,25.75,4.51
Reddish Brown Earth,Hambantota,Yala,groundnut,6.38,52.18,22.85,36.48,20.79,2.93
Regosol,Puttalam,Yala,chili,5.92,49.03,12.54,32.27,10.72,0.96
Regosol,Kilinochchi,Yala,onion,7.73,31.19,13.78,28.63,14.59,1.27
Alluvial,Trincomalee,Maha,vegetables,6.44,74.17,21.69,45.81,35.82,5.15
Red Yellow Podzolic,Galle,Yala,cocoa,4.82,54.11,20.18,32.22,32.95,2.88
Regosol,Mannar,Yala,onion,5.97,46.92,14.17,29.74,11.04,1.68
Alluvial,Trincomalee,Maha,vegetables,7.04,58.34,29.9,40.68,27.41,4.59
Red Yellow Podzolic,Matale,Maha,cocoa,5.19,36.5,27.95,40.89,28.47,5.44
Regosol,Puttalam,Yala,onion,7.0,26.22,15.28,22.03,9.72,2.24
Alluvial,Gampaha,Yala,banana,7.17,64.78,22.16,62.13,36.66,3.93
Red Yellow Podzolic,Galle,Maha,cocoa,5.54,43.98,20.71,34.08,38.83,4.07
Regosol,Puttalam,Maha,onion,7.28,39.22,13.04,24.1,21.23,1.72
Reddish Brown Earth,Monaragala,Yala,onion,6.36,48.86,25.05,37.48,17.21,2.55
Red Yellow Podzolic,Matale,Yala,vegetables,5.26,43.61,25.4,26.47,34.98,2.77
Reddish Brown Earth,Anuradhapura,Maha,cowpea,6.42,55.29,29.39,53.38,19.72,2.25
Red Yellow Podzolic,Matale,Yala,vegetables,5.12,36.6,15.55,22.0,22.16,3.65
Alluvial,Trincomalee,Yala,chili,6.51,74.38,27.18,57.8,33.14,5.33
Regosol,Mullaitivu,Maha,tomato,7.37,48.05,12.15,37.05,14.49,2.02
Alluvial,Ampara,Maha,big onion,6.4,63.61,23.53,60.61,27.78,3.53
Alluvial,Trincomalee,Maha,paddy,7.23,89.34,34.89,43.98,39.82,4.36
Alluvial,Kalutara,Yala,banana,6.97,58.25,31.89,52.94,31.66,3.12
Red Yellow Podzolic,Matale,Yala,rubber,5.37,51.93,13.09,35.72,31.31,2.99
Reddish Brown Earth,Kurunegala,Maha,chili,5.49,65.79,19.58,37.41,25.29,3.63
Reddish Brown Earth,Polonnaruwa,Maha,chili,6.17,61.57,19.43,45.72,26.17,2.27
Reddish Brown Earth,Polonnaruwa,Maha,cowpea,5.89,60.12,18.67,36.82,26.34,3.06
Alluvial,Batticaloa,Maha,big onion,6.8,66.7,32.71,45.87,36.72,4.07
Alluvial,Trincomalee,Yala,chili,7.09,59.24,35.37,40.55,31.81,4.79
Red Yellow Podzolic,Matara,Yala,pepper,5.29,58.81,20.23,44.73,33.46,2.91
Red Yellow Podzolic,Galle,Maha,cocoa,5.38,44.13,22.45,42.95,34.43,3.81
Regosol,Mullaitivu,Yala,groundnut,6.07,32.94,21.02,18.79,14.01,1.41
Regosol,Jaffna,Yala,tomato,6.02,33.18,17.87,21.79,8.2,1.67
Alluvial,Gampaha,Maha,paddy,6.52,71.57,33.76,47.09,40.0,4.52
Reddish Brown Earth,Kurunegala,Yala,chili,6.18,55.65,29.73,43.79,13.28,3.54
Red Yellow Podzolic,Ratnapura,Yala,rubber,4.9,42.1,22.02,26.86,33.95,2.59
Red Yellow Podzolic,Kandy,Maha,vegetables,4.61,51.36,23.0,27.9,31.7,3.05
Red Yellow Podzolic,Kandy,Maha,rubber,5.4,39.26,17.72,32.49,34.11,5.43
Alluvial,Gampaha,Yala,chili,6.77,72.12,32.58,42.83,29.21,3.27
Reddish Brown Earth,Kurunegala,Yala,chili,5.56,69.33,28.35,40.98,14.31,2.9
Reddish Brown Earth,Hambantota,Yala,maize,5.64,54.04,30.86,50.64,21.53,2.21
Reddish Brown Earth,Polonnaruwa,Yala,groundnut,6.59,58.55,28.91,36.47,10.81,3.34
Reddish Brown Earth,Anuradhapura,Maha,cowpea,5.49,50.95,29.37,40.36,18.05,3.84
Alluvial,Colombo,Yala,big onion,6.04,68.61,39.73,66.87,36.71,3.07
Regosol,Mullaitivu,Maha,onion,6.91,45.01,11.72,20.58,12.56,1.16
Reddish Brown Earth,Polonnaruwa,Yala,maize,5.77,62.85,23.89,46.06,16.12,2.76
Reddish Brown Earth,Anuradhapura,Maha,groundnut,6.58,65.67,19.21,39.15,19.65,3.26
Red Yellow Podzolic,Kandy,Maha,tea,5.47,46.23,27.18,24.18,28.26,3.37
Reddish Brown Earth,Polonnaruwa,Maha,maize,5.74,68.37,27.85,45.44,17.87,2.75
Regosol,Mullaitivu,Maha,watermelon,6.82,33.41,16.32,26.65,13.25,1.56
Regosol,Mullaitivu,Maha,groundnut,6.72,29.09,11.93,31.92,11.77,1.29
Reddish Brown Earth,Kurunegala,Maha,cowpea,5.71,48.06,25.64,38.52,17.71,3.84
Regosol,Mullaitivu,Yala,onion,5.8,36.62,21.61,23.78,16.36,0.8
Alluvial,Kalutara,Maha,paddy,6.49,64.32,26.24,58.01,32.53,5.92
Regosol,Jaffna,Maha,tomato,7.8,46.96,12.95,28.1,20.9,2.43
Reddish Brown Earth,Anuradhapura,Maha,onion,6.35,49.09,24.45,59.74,22.93,3.15
Alluvial,Colombo,Maha,banana,6.3,66.21,36.67,65.58,27.31,3.28
